latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.54833,13.407822,38.0,7200,Europe/Berlin,GMT+2

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),windspeed_10m_max (km/h)
2024-01-01,7.4,3.4,1.80,19.7
2024-01-02,7.0,2.5,7.20,20.2
2024-01-03,10.6,7.3,12.10,27.8
2024-01-04,7.3,-2.3,2.90,33.1
2024-01-05,0.9,-0.7,5.30,21.3
2024-01-06,1.0,-1.8,1.30,18.4
2024-01-07,-0.4,-6.9,0.60,22.6
2024-01-08,-3.9,-9.2,0.00,21.9
2024-01-09,-4.1,-10.6,0.00,10.3
2024-01-10,-1.9,-8.9,0.00,9.3
2024-01-11,-0.3,-7.9,0.00,17.7
2024-01-12,0.4,-1.7,0.00,17.4
2024-01-13,2.2,0.5,1.70,28.9
2024-01-14,2.9,0.9,4.70,27.1
2024-01-15,2.2,-2.2,1.20,35.3
2024-01-16,1.1,-4.3,3.10,22.4
2024-01-17,-0.2,-4.6,1.90,15.6
2024-01-18,0.5,-4.9,0.50,13.2
2024-01-19,1.8,-5.2,0.00,24.5
2024-01-20,3.0,-1.7,0.00,26.6
2024-01-21,3.0,-4.9,0.00,28.2
2024-01-22,8.8,1.0,3.10,33.7
2024-01-23,7.5,2.5,0.30,30.7
2024-01-24,10.4,3.9,5.70,42.2
2024-01-25,8.3,5.4,0.20,36.4
2024-01-26,9.1,2.1,3.50,34.1
2024-01-27,6.7,1.6,0.00,28.7
2024-01-28,6.4,-2.3,0.00,14.0
2024-01-29,8.2,-0.2,0.00,15.0
2024-01-30,8.3,0.8,0.10,14.8
2024-01-31,7.6,1.6,0.00,21.8
2024-02-01,7.8,2.2,2.10,29.2
2024-02-02,7.7,3.8,1.00,29.6
2024-02-03,10.4,7.5,3.00,34.0
2024-02-04,8.4,5.3,0.40,31.0
2024-02-05,9.7,6.9,12.50,32.0
2024-02-06,10.3,8.0,1.20,36.1
2024-02-07,9.3,0.9,9.30,34.5
2024-02-08,4.8,-2.6,2.60,12.6
2024-02-09,7.9,0.9,13.40,23.4
2024-02-10,12.4,6.4,6.40,15.3
2024-02-11,10.2,6.0,4.60,17.9
2024-02-12,8.8,4.7,6.40,21.8
2024-02-13,8.2,2.4,0.10,20.2
2024-02-14,9.4,1.8,4.70,20.5
2024-02-15,13.3,8.4,0.20,16.3
2024-02-16,15.6,8.0,1.00,18.9
2024-02-17,12.2,6.2,3.00,23.8
2024-02-18,9.4,0.6,0.40,19.5
2024-02-19,8.6,6.7,6.50,29.4
2024-02-20,8.7,6.5,1.10,26.1
2024-02-21,10.7,6.3,2.00,26.6
2024-02-22,11.4,8.0,4.40,26.3
2024-02-23,11.1,4.0,0.90,30.2
2024-02-24,10.2,0.7,0.00,21.1
2024-02-25,11.3,0.7,0.00,18.7
2024-02-26,10.5,-0.6,0.00,17.6
2024-02-27,7.0,2.9,0.00,20.0
2024-02-28,5.3,-0.4,0.00,11.6
2024-02-29,9.3,-1.5,0.00,18.7
2024-03-01,12.1,3.4,0.00,11.9
2024-03-02,11.1,5.6,0.70,11.3
2024-03-03,13.3,6.2,0.00,18.7
2024-03-04,12.4,6.1,0.10,16.5
2024-03-05,8.0,1.2,0.20,18.5
2024-03-06,7.1,-1.2,0.20,14.5
2024-03-07,7.6,0.4,0.30,18.7
2024-03-08,7.6,-1.7,0.00,19.4
2024-03-09,9.3,-0.2,0.80,26.2
2024-03-10,11.9,3.1,0.00,29.6
2024-03-11,13.6,6.0,0.00,23.4
2024-03-12,13.4,3.6,0.00,13.4
2024-03-13,13.4,2.0,0.00,15.6
2024-03-14,14.3,7.6,0.30,15.1
2024-03-15,17.2,7.2,0.00,17.5
2024-03-16,12.3,5.6,1.40,24.4
2024-03-17,8.2,1.2,0.00,19.3
2024-03-18,6.0,-2.6,0.00,14.4
2024-03-19,8.6,-2.6,0.00,16.6
2024-03-20,15.9,1.3,0.00,10.7
2024-03-21,14.2,8.0,6.70,20.2
2024-03-22,13.0,6.6,4.60,19.5
2024-03-23,9.5,3.3,6.70,23.9
2024-03-24,6.4,1.7,6.70,26.6
2024-03-25,9.3,1.9,3.10,19.9
2024-03-26,12.9,0.3,0.00,23.1
2024-03-27,17.0,5.0,0.00,18.5
2024-03-28,13.4,6.6,1.40,34.0
2024-03-29,14.5,5.1,0.40,20.9
2024-03-30,21.7,7.6,0.30,13.8
2024-03-31,19.0,6.8,0.00,11.5
2024-04-01,19.4,8.5,0.00,31.3
2024-04-02,13.5,7.9,3.20,36.7
2024-04-03,11.5,8.3,5.30,25.6
2024-04-04,14.2,8.6,6.20,23.1
2024-04-05,18.8,9.0,2.40,27.3
2024-04-06,21.8,11.3,0.10,17.9
2024-04-07,22.1,13.3,0.00,16.7
2024-04-08,25.5,13.0,0.20,12.5
2024-04-09,25.5,12.4,0.20,28.9
2024-04-10,13.5,9.2,1.00,24.9
2024-04-11,15.7,6.0,0.00,20.9
2024-04-12,19.1,11.7,0.00,20.6
2024-04-13,21.0,11.8,0.00,23.8
2024-04-14,17.3,8.7,0.10,26.9
2024-04-15,13.2,7.3,4.20,20.2
2024-04-16,9.5,4.7,3.00,30.4
2024-04-17,10.4,2.4,0.90,14.8
2024-04-18,10.6,0.9,0.80,15.9
2024-04-19,7.7,4.6,6.10,26.5
2024-04-20,8.2,1.8,2.60,25.7
2024-04-21,8.2,-0.8,1.60,18.4
2024-04-22,6.2,-1.5,1.90,16.6
2024-04-23,8.2,-1.1,0.00,10.9
2024-04-24,10.5,2.8,0.50,14.8
2024-04-25,9.1,1.1,2.40,16.6
2024-04-26,13.2,1.9,0.10,20.9
2024-04-27,19.0,3.0,0.00,16.6
2024-04-28,22.5,9.5,0.00,18.1
